"ID","Classificação","Arquivo","Símbolo","Branch de origem","SHA de origem","Branch posterior","SHA posterior","PR/Merge","O que existia","O que mudou","O que existe hoje","Teste relacionado","Impacto no módulo Cliente / Perfil","Evidência","Confiança","Precisa de decisão do líder?"
"CP-011","EXISTE_EM_BRANCH_MAS_NAO_NA_BASE","src/application/perfil/FluxoImportacaoPerfisUseCase.ts","confirmar() e limpar() sem releaseObject","desenvolvimento","9424ff6fc0fd","nova_desenvolvimento_de_n1","b91223b5fd43","Commit agregado a trabalho de outro módulo; sem PR específico de Perfil","A versão da branch removeu releaseObject no confirmar/limpar e passou a resetar o estado apenas após sucesso.","A base continuou com o cleanup em finally e reset garantido.","O commit não é ancestral da base.","Nenhum teste de Perfil alterado por esse commit.","Diferença comportamental de erro/limpeza permanece sem evidência de decisão específica.","Diff 9424ff6fc0fd e comparação com b91223b5fd43.","ALTO","SIM"
"CP-012","PRESERVADO_COM_ALTERACAO_COMPATIVEL","src/app/createOperationalPersistence.ts; createRepositoryComposition.ts","store perfis e wiring do PerfilRepository","fix/apply-checklist-completa-canonico","ff275000574e","nova_desenvolvimento_de_n1","06556b9100dd","Sincronização de raiz; sem PR específico","A factory de persistência operacional já existia em branch divergente, criada a partir de zip canônico.","O commit de sincronização adicionou à base um blob byte a byte idêntico e extraiu o wiring antes inline.","A composition usa store lógico perfis no banco kzera_operacional_1102, versão 5, envolvendo-o com PerfilRepository.","persistence-foundation e perfil-module são textuais; não há teste IndexedDB real de Perfil.","Código copiado de branch divergente foi preservado exatamente; não há evidência de sobrescrita da lógica de Perfil.","Blob ab6537dd18faa6814932b782a54bfcdd359b6195 idêntico em ff275000574e e 06556b9100dd.","ALTO","NÃO"
"CP-013","PRESERVADO","src/infrastructure/repositories/PerfilRepository.ts; src/runtime/PerfilPayloadFields.ts","PerfilRecord, PerfilPayload, pack/unpack e campos sensíveis","claude/file-upload-project-22m8hs","5655c69be77b","nova_desenvolvimento_de_n1","b91223b5fd43","Sem alteração posterior desses arquivos","Record aberto com id, código, conhecePessoalmente, status, timestamps e packedPayload; nome/telefone/e-mail/endereço/bairro/município/observações ficam no payload protegido.","Nenhuma mudança histórica posterior nesses arquivos.","O mesmo blob lógico permanece na base.","perfil-typescript-contract e perfil-module fazem inspeção textual; não há round-trip real do repositório.","Não foram encontrados campos removidos nem mudança de schema sem migration correspondente.","git log --all --follow retorna apenas 5655c69be77b para ambos os arquivos.","ALTO","NÃO"
"CP-014","PRESERVADO","src/app/createPerfilModule.ts","identityRules, historicoPerfis e resolucoesDuplicidade","claude/file-upload-project-22m8hs","5655c69be77b","nova_desenvolvimento_de_n1","b91223b5fd43","Sem mudança posterior no wiring desses três repositórios","Os três estados eram instanciados como InMemoryRepository dentro de cada módulo.","Nenhuma branch encontrada os converteu em persistência durável.","Continuam em memória; perfis em si usam IndexedDB quando disponível.","perfil-historico, perfil-duplicidade e perfil-identidade-config são testes textuais.","A ausência de persistência durável não resulta de perda entre branches: é o estado original preservado.","Blame/histórico de createPerfilModule e busca global por repositórios desses tipos.","ALTO","NÃO"
"CP-015","PARCIALMENTE_PRESERVADO","package.json; tests/*perfil*; tests/*cliente*","script npm test / proteção automática do módulo","claude/file-upload-project-22m8hs","5655c69be77b","branch de importação incorporada à base","9a8292f98cda","Sem PR específico localizado","npm test executava uma cadeia de testes e npx tsc --noEmit, incluindo três testes centrais de perfil-importação.","O script foi trocado por echo “Testes temporariamente desabilitados neste branch”.","npm test retorna sucesso sem executar teste algum.","O próprio mecanismo de execução é o objeto do achado.","Arquivos de teste sobreviveram, mas a proteção automática foi enfraquecida.","Diff 9a8292f98cda e package.json em b91223b5fd43.","ALTO","SIM"
"CP-016","PARCIALMENTE_PRESERVADO","35 testes de perfil/cliente na base","contratos textuais e execução direta","claude/file-upload-project-22m8hs","5655c69be77b","nova_desenvolvimento_de_n1","b91223b5fd43","Não aplicável","Os testes foram criados como scripts CJS baseados predominantemente em readFileSync/includes, não como execução do código TypeScript real.","Não houve exclusão de teste; dois foram ajustados em branches fora da base e um foi ampliado na base.","Execução direta individual: 18 aprovados e 17 reprovados. Todos os 35 usam inspeção textual; nenhum é teste de navegador ou round-trip real do domínio/repositório.","Lista nominal em 08_TESTES_REMOVIDOS_OU_ENFRAQUECIDOS.md.","A presença dos arquivos não equivale a proteção funcional atual.","Execução com Node 24 sobre arquivo exportado exatamente de b91223b5fd43; classificação estrutural por leitura dos 35 scripts.","ALTO","SIM"
"CP-017","EXISTE_EM_BRANCH_MAS_NAO_NA_BASE","src/{domain,application,infrastructure}/importacao/perfis/**; src/app/importacao/createImportacaoPerfisSeguraComposition.ts; tests/importacao-perfis-segura/**","frente segura e isolada de importação de perfis","recuperacao/importacao-perfis-reprocessamento","c764d878db21","mesma branch","b50597771d01","Nenhum PR localizado; branch 14 commits à frente e 2 atrás da base após merge-base 8f2684a","A branch criou contratos escopados, duplicidade explícita, idempotência, cancelamento, retry, IndexedDB protegido, gateway e composition isolada.","A própria entrega registra que o wiring global protegido não foi alterado e que a UI atual continua no fluxo legado.","Os 11 arquivos de código/teste não estão na base oficial.","16 testes TypeScript reais foram escritos em 53b72ad, mas o documento da própria branch declara que não foram executados.","É implementação paralela completa, não alteração perdida durante merge. Integração depende de decisões de produto e de wiring explícito.","Commits c764d878db21…b50597771d01 e docs/recuperacao/importacao-perfis-reprocessamento.md na branch.","ALTO para linhagem; BAIXO para correção comportamental não executada","SIM"
"CP-018","PRESERVADO_COM_ALTERACAO_COMPATIVEL","src/app/createKzeraAuthenticatedApp.ts → src/app/composition/createFeatureAppComposition.ts e createRepositoryComposition.ts","wiring principal de perfilApp/perfis","linhagem oficial antes da sincronização","8e6a1e0d77ce91500b3cfa6fa22f3debf4a99022","nova_desenvolvimento_de_n1","06556b9100dd","Commit de sincronização da raiz","createKzeraAuthenticatedApp continha inline o repositório operacional e a criação do perfilApp.","O commit 06556b9 decompôs o arquivo e criou compositions dedicadas.","O perfilApp recebe repositories.perfis, clock, nextPerfilId, regra de código em cache e importacaoRascunho.","perfil-module e contratos de composition são textuais.","O wiring essencial foi transferido, não removido; ReprocessarPendenciasPerfilUseCase não está injetado.","Comparação do pai de 06556b9 com os arquivos novos e rastreamento das chamadas atuais.","ALTO","NÃO"
"CP-019","PRESERVADO","migrations/schemas/stores relacionados a Perfil","store perfis e versão do banco","linhagem inicial / factory canônica","5655c69be77b e ff275000574e","nova_desenvolvimento_de_n1","b91223b5fd43","Não aplicável","PerfilRepository/Payload não tiveram evolução de campos; o store operacional usa criação aditiva por IndexedDbConnection.","Não foi encontrado arquivo de migration específico de Perfil em nenhuma branch.","Store perfis existe na lista da versão 5; não há migration nominal de Perfil nem alteração de campos a reconciliar.","Sem teste de upgrade de IndexedDB para Perfil.","Não há evidência de migration perdida; há apenas ausência histórica de migrations específicas.","git log --all dos arquivos de persistência e busca por migration/schema/store.","ALTO","NÃO"
"CP-020","EXISTE_EM_BRANCH_MAS_NAO_NA_BASE","tests/perfil-importacao-xlsx.test.cjs","caminho de documento lido pelo teste","mover_docs_qa/n1 e descendentes","a291d3815888","nova_desenvolvimento_de_n1","b91223b5fd43","chegou a branches via PR #82, não à base oficial","O teste lia docs/importacao/CONFIRMACAO_HISTORICO_FINANCEIRO_1.19.3.md.","A branch atualizou somente o caminho documental.","A base mantém o caminho antigo; o teste direto ainda passa no snapshot auditado.","O próprio perfil-importacao-xlsx.test.cjs.","Não altera comportamento de Perfil e não configura teste removido/enfraquecido.","Diff a291d3815888 e alcance de branches.","ALTO","NÃO"
